id,request_id,timestamp,user_id,username,is_authenticated,role,session_id_hash,ip_address,user_agent,http_method,endpoint,path,action,action_type,is_sensitive,resource_type,resource_id,owner_id,permission,ownership_result,authorization_result,status_code,response_time_ms,file_size,export_item_count,export_total_size,label,scenario,run_id,severity,scenario_id,window_start,window_end,window_id
1,0648b74c0df04db081eb7491fa8ce76d,2026-07-17 14:21:38+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveNormalSimulator/casual,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,9.001,,,,0,normal,unknown_run,normal,,2026-07-17 14:20:00+00:00,2026-07-17 14:25:00+00:00,6c4f5aecd887a608
1049,4fa2317d71164bff8987ad8e3c401b68,2026-07-17 14:22:39+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveNormalSimulator/active,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.443,,,,0,normal,unknown_run,normal,,2026-07-17 14:20:00+00:00,2026-07-17 14:25:00+00:00,6c4f5aecd887a608
2138,3cbe58df41cf40adae438a9f54f3bde9,2026-07-17 14:23:41+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveNormalSimulator/reviewer,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.1,,,,0,normal,unknown_run,normal,,2026-07-17 14:20:00+00:00,2026-07-17 14:25:00+00:00,6c4f5aecd887a608
3177,57006271b76f428ebb07ae81c549e5f7,2026-07-17 14:24:40+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveNormalSimulator/casual,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.233,,,,0,normal,unknown_run,normal,,2026-07-17 14:20:00+00:00,2026-07-17 14:25:00+00:00,6c4f5aecd887a608
4240,befc0563c89e469093b12bc5e023c304,2026-07-17 14:25:40+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveNormalSimulator/active,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.363,,,,0,normal,unknown_run,normal,,2026-07-17 14:25:00+00:00,2026-07-17 14:30:00+00:00,87af3c61759a01cc
5328,24f5da53641b48019b22d3cea2b77847,2026-07-17 14:26:41+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveExportAbuseSimulator/mild,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.085,,,,0,normal,unknown_run,normal,,2026-07-17 14:25:00+00:00,2026-07-17 14:30:00+00:00,87af3c61759a01cc
5345,49c59cfe13744e0d8bb04086311aceb7,2026-07-17 14:26:43+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveExportAbuseSimulator/medium,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,0.969,,,,0,normal,unknown_run,normal,,2026-07-17 14:25:00+00:00,2026-07-17 14:30:00+00:00,87af3c61759a01cc
5379,9a5ac88c79f445119572bb7345688374,2026-07-17 14:26:46+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveExportAbuseSimulator/high,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.395,,,,0,normal,unknown_run,normal,,2026-07-17 14:25:00+00:00,2026-07-17 14:30:00+00:00,87af3c61759a01cc
5448,1d433a6e2da9431d94dfd5a79655ef86,2026-07-17 14:27:25+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveDeleteAbuseSimulator/mild,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,11.982,,,,0,normal,unknown_run,normal,,2026-07-17 14:25:00+00:00,2026-07-17 14:30:00+00:00,87af3c61759a01cc
5462,ba89a31140bb43c5bcb8319db65decc5,2026-07-17 14:27:31+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveDeleteAbuseSimulator/medium,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.201,,,,0,normal,unknown_run,normal,,2026-07-17 14:25:00+00:00,2026-07-17 14:30:00+00:00,87af3c61759a01cc
5490,3b7e494ca6074b44bc8bbf14ab9c31e0,2026-07-17 14:27:38+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveBolaScanSimulator/low-and-slow,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.103,,,,0,normal,unknown_run,normal,,2026-07-17 14:25:00+00:00,2026-07-17 14:30:00+00:00,87af3c61759a01cc
5514,f958550066964f4fae5d2a516920c78d,2026-07-17 14:27:45+00:00,-1,,False,ANONYMOUS,anonymous,127.0.0.1,StudyDriveBolaScanSimulator/burst,GET,auth.login,/auth/login,login,login,False,,,,ANONYMOUS,ANONYMOUS,allowed,200,1.54,,,,0,normal,unknown_run,normal,,2026-07-17 14:25:00+00:00,2026-07-17 14:30:00+00:00,87af3c61759a01cc
2,08db654e33094b108b93fe7e5733cbd2,2026-07-17 14:21:38+00:00,2,user1,True,USER,0ace177a47f5af4140dddaefae1fe38d8a25c178ae76fc06dad6be16ad614dee,127.0.0.1,StudyDriveNormalSimulator/casual,POST,auth.login,/auth/login,login,login,False,,,,,,allowed,302,97.49,,,,0,normal,unknown_run,normal,,2026-07-17 14:20:00+00:00,2026-07-17 14:25:00+00:00,4664a3ccefd7737b
4,33c09423cc3e47099a09345f5e9f70ae,2026-07-17 14:21:38+00:00,2,user1,True,USER,0ace177a47f5af4140dddaefae1fe38d8a25c178ae76fc06dad6be16ad614dee,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.download_file,/files/1/download,download_file,view_detail,False,file,1,2.0,OWNER,OWNER,allowed,200,8.959,93.0,,,0,normal,unknown_run,normal,,2026-07-17 14:20:00+00:00,2026-07-17 14:25:00+00:00,4664a3ccefd7737b
5,5efe29a3b74e4d8d9bb7187a20a8de7b,2026-07-17 14:21:38+00:00,2,user1,True,USER,0ace177a47f5af4140dddaefae1fe38d8a25c178ae76fc06dad6be16ad614dee,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,False,,,,,,allowed,200,26.684,,,,0,normal,unknown_run,normal,,2026-07-17 14:20:00+00:00,2026-07-17 14:25:00+00:00,4664a3ccefd7737b
3,e2cbee93f37b4b9fa2bd3de1e99463cc,2026-07-17 14:21:38+00:00,2,user1,True,USER,0ace177a47f5af4140dddaefae1fe38d8a25c178ae76fc06dad6be16ad614dee,127.0.0.1,StudyDriveNormalSimulator/casual,GET,main.dashboard,/dashboard,dashboard,list,False,,,,,,allowed,200,20.355,,,,0,normal,unknown_run,normal,,2026-07-17 14:20:00+00:00,2026-07-17 14:25:00+00:00,4664a3ccefd7737b
6,ece205df3f2448bcb6ef4ec962d577ef,2026-07-17 14:21:38+00:00,2,user1,True,USER,0ace177a47f5af4140dddaefae1fe38d8a25c178ae76fc06dad6be16ad614dee,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,False,,,,,,allowed,200,11.639,,,,0,normal,unknown_run,normal,,2026-07-17 14:20:00+00:00,2026-07-17 14:25:00+00:00,4664a3ccefd7737b
23,0a2aa842cfd84144a1803e4124ac0288,2026-07-17 14:21:39+00:00,2,user1,True,USER,0ace177a47f5af4140dddaefae1fe38d8a25c178ae76fc06dad6be16ad614dee,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,False,,,,,,allowed,200,9.569,,,,0,normal,raw_v1_20260717_142134,normal,normal:raw_v1_20260717_142134:user1,2026-07-17 14:20:00+00:00,2026-07-17 14:25:00+00:00,4664a3ccefd7737b
14,119fb3b75b284a339f9809f3ac903490,2026-07-17 14:21:39+00:00,2,user1,True,USER,0ace177a47f5af4140dddaefae1fe38d8a25c178ae76fc06dad6be16ad614dee,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.download_file,/files/13/download,download_file,view_detail,False,file,13,2.0,OWNER,OWNER,allowed,200,12.898,106.0,,,0,normal,raw_v1_20260717_142134,normal,normal:raw_v1_20260717_142134:user1,2026-07-17 14:20:00+00:00,2026-07-17 14:25:00+00:00,4664a3ccefd7737b
20,2e8f532e7bae43f9a2d13be45089cc08,2026-07-17 14:21:39+00:00,2,user1,True,USER,0ace177a47f5af4140dddaefae1fe38d8a25c178ae76fc06dad6be16ad614dee,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.download_file,/files/10/download,download_file,view_detail,False,file,10,2.0,OWNER,OWNER,allowed,200,4.505,84.0,,,0,normal,raw_v1_20260717_142134,normal,normal:raw_v1_20260717_142134:user1,2026-07-17 14:20:00+00:00,2026-07-17 14:25:00+00:00,4664a3ccefd7737b
7,331e0ad727f74a18ac6966f802f5cc90,2026-07-17 14:21:39+00:00,2,user1,True,USER,0ace177a47f5af4140dddaefae1fe38d8a25c178ae76fc06dad6be16ad614dee,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.browse_folder,/folders/3,browse_folder,list,False,folder,3,2.0,OWNER,OWNER,allowed,200,15.159,,,,0,normal,raw_v1_20260717_142134,normal,normal:raw_v1_20260717_142134:user1,2026-07-17 14:20:00+00:00,2026-07-17 14:25:00+00:00,4664a3ccefd7737b
13,3c763a565e064e5c99b4f786177afb31,2026-07-17 14:21:39+00:00,2,user1,True,USER,0ace177a47f5af4140dddaefae1fe38d8a25c178ae76fc06dad6be16ad614dee,127.0.0.1,StudyDriveNormalSimulator/casual,GET,documents.index,/files,list_files,list,False,,,,,,allowed,200,12.058,,,,0,normal,raw_v1_20260717_142134,normal,normal:raw_v1_20260717_142134:user1,2026-07-17 14:20:00+00:00,2026-07-17 14:25:00+00:00,4664a3ccefd7737b
