window_id,user_id,session_id_hash,window_start,window_end,label,scenario,run_id,severity,request_count,unique_endpoint_count,unique_method_count,session_duration_sec,avg_inter_request_sec,min_inter_request_sec,burst_rate,error_rate,avg_response_time_ms,sensitive_request_count,sensitive_ratio,export_count,export_ratio,delete_count,delete_ratio,unique_deleted_resource_count,unique_resource_id_count,resource_id_request_ratio,forbidden_count,forbidden_rate,not_found_count,not_found_rate,unique_failed_resource_id_count,resource_id_change_rate,max_sensitive_streak
c03d6200fbbf349e,2,29d88ae6a299305f8047c62b16bd2011036839d5b04eca30b87aa0e58f9e8813,2026-08-12T05:43:45+00:00,2026-08-12T05:44:15+00:00,0,normal,raw_v1_20260812_054207,normal,537,10,2,29.0,0.054104477611940295,0.0,1.0,0.0,7.75804469273743,4,0.0074487895716946,3,0.00558659217877095,1,0.00186219739292365,1,14,0.0260707635009311,0,0.0,0,0.0,0,0.9094827586206896,1
8a3f101deaeb648b,4,9b2e94d44d1ef8520af2d3e8fe05a1e9191da31c96716f08b60e18a5f9b23c51,2026-08-12T05:47:25+00:00,2026-08-12T05:47:55+00:00,0,normal,raw_v1_20260812_054207,normal,551,10,2,29.0,0.05272727272727273,0.0,1.0,0.0,6.792504537205081,2,0.003629764065335753,1,0.0018148820326678765,1,0.0018148820326678765,1,17,0.030852994555353903,0,0.0,0,0.0,0,0.9411764705882353,1
c5aaa839b65a29e2,5,22658b822da6f21ec09fd1ad6b5d75261f4531a860caa308f270460116b0eba2,2026-08-12T05:49:58+00:00,2026-08-12T05:50:28+00:00,0,normal,raw_v1_20260812_054207,normal,532,10,2,29.0,0.054613935969868174,0.0,1.0,0.0,8.080218045112781,6,0.011278195488721804,4,0.007518796992481203,2,0.0037593984962406013,2,17,0.03195488721804511,0,0.0,0,0.0,0,0.9383886255924171,1
82115d3c071af37c,4,9b2e94d44d1ef8520af2d3e8fe05a1e9191da31c96716f08b60e18a5f9b23c51,2026-08-12T05:47:29+00:00,2026-08-12T05:47:59+00:00,0,normal,raw_v1_20260812_054207,normal,551,10,2,29.0,0.05272727272727273,0.0,1.0,0.0,6.827673321234119,2,0.003629764065335753,1,0.0018148820326678765,1,0.0018148820326678765,1,17,0.030852994555353903,0,0.0,0,0.0,0,0.9329608938547486,1
245763a3a6cc93c5,5,22658b822da6f21ec09fd1ad6b5d75261f4531a860caa308f270460116b0eba2,2026-08-12T05:49:28+00:00,2026-08-12T05:49:58+00:00,0,normal,raw_v1_20260812_054207,normal,523,9,2,29.0,0.05555555555555555,0.0,1.0,0.0,7.789571701720841,3,0.0057361376673040155,3,0.0057361376673040155,0,0.0,0,17,0.032504780114722756,0,0.0,0,0.0,0,0.9095238095238095,1
83c43879ca43b7ab,2,29d88ae6a299305f8047c62b16bd2011036839d5b04eca30b87aa0e58f9e8813,2026-08-12T05:42:15+00:00,2026-08-12T05:42:45+00:00,0,normal,raw_v1_20260812_054207,normal,365,9,2,29.0,0.07967032967032966,0.0,1.0,0.0,14.82471506849315,2,0.005479452054794521,2,0.005479452054794521,0,0.0,0,16,0.043835616438356165,0,0.0,0,0.0,0,0.9207317073170732,1
7a49d1a15b1d6c27,2,29d88ae6a299305f8047c62b16bd2011036839d5b04eca30b87aa0e58f9e8813,2026-08-12T05:42:49+00:00,2026-08-12T05:43:19+00:00,0,normal,raw_v1_20260812_054207,normal,347,6,2,29.0,0.0838150289017341,0.0,1.0,0.0,15.920161383285304,0,0.0,0,0.0,0,0.0,0,16,0.04610951008645533,0,0.0,0,0.0,0,0.8823529411764706,0
842cd4392c1ffed3,6,b478ac99dd0ce00200d46f877a548aeb082634ac1fde71d074629386713108a4,2026-08-12T05:52:07+00:00,2026-08-12T05:52:37+00:00,0,normal,raw_v1_20260812_054207,normal,409,9,2,24.0,0.058823529411764705,0.0,1.0,0.0,11.744955990220049,7,0.017114914425427872,7,0.017114914425427872,0,0.0,0,12,0.029339853300733496,0,0.0,0,0.0,0,0.900497512437811,2
9ef0c990184faea7,2,29d88ae6a299305f8047c62b16bd2011036839d5b04eca30b87aa0e58f9e8813,2026-08-12T05:43:51+00:00,2026-08-12T05:44:21+00:00,0,normal,raw_v1_20260812_054207,normal,538,9,2,29.0,0.054003724394785846,0.0,1.0,0.0,7.840825278810408,2,0.0037174721189591076,2,0.0037174721189591076,0,0.0,0,13,0.024163568773234202,0,0.0,0,0.0,0,0.9039301310043668,1
077f9d515c50f42e,5,22658b822da6f21ec09fd1ad6b5d75261f4531a860caa308f270460116b0eba2,2026-08-12T05:48:40+00:00,2026-08-12T05:49:10+00:00,0,normal,raw_v1_20260812_054207,normal,525,10,2,29.0,0.05534351145038168,0.0,1.0,0.0,7.356207619047619,3,0.005714285714285714,2,0.0038095238095238095,1,0.0019047619047619048,1,19,0.03619047619047619,0,0.0,0,0.0,0,0.9219512195121952,1
